,Team,Country_ID,Year,Season,City,Sport,Event,Medal
58809,Netherlands,NED,1900,Summer,Paris,Swimming,Swimming Men's 200 metres Backstroke,Bronze
58821,Canada,CAN,2012,Summer,London,Athletics,Athletics Men's High Jump,Bronze
58822,Canada,CAN,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,Gold
58829,Soviet Union,URS,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
58844,Belgium,BEL,1900,Summer,Paris,Archery,Archery Men's Sur La Perche a La Herse,Silver
58853,West Germany,FRG,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,Silver
58857,Great Britain,GBR,2014,Winter,Sochi,Curling,Curling Men's Curling,Silver
58859,United States,USA,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
58861,United States,USA,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
58864,Romania,ROU,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Bronze
58867,United States,USA,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
58869,United States,USA,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
58871,United States,USA,1920,Summer,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
58872,United States,USA,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
58874,Great Britain,GBR,1912,Summer,Stockholm,Gymnastics,Gymnastics Men's Team All-Around,Bronze
58880,France,FRA,1972,Summer,Munich,Athletics,Athletics Men's 110 metres Hurdles,Silver
58881,France,FRA,1976,Summer,Montreal,Athletics,Athletics Men's 110 metres Hurdles,Gold
58882,Germany,GER,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Bronze
58922,United States,USA,1984,Summer,Los Angeles,Shooting,Shooting Mixed Skeet,Gold
58933,New Zealand,NZL,2008,Summer,Beijing,Rowing,Rowing Men's Single Sculls,Bronze
58934,New Zealand,NZL,2012,Summer,London,Rowing,Rowing Men's Single Sculls,Gold
58935,New Zealand,NZL,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,Gold
58958,Soviet Union,URS,1988,Summer,Seoul,Handball,Handball Women's Handball,Bronze
58959,Unified Team,EUN,1992,Summer,Barcelona,Handball,Handball Women's Handball,Bronze
58966,China-1,CHN,2008,Summer,Beijing,Badminton,Badminton Women's Doubles,Gold
58968,China,CHN,2004,Summer,Athina,Shooting,"Shooting Women's Air Rifle, 10 metres",Gold
58970,China,CHN,2008,Summer,Beijing,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Gold
58972,China,CHN,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",Silver
58973,China,CHN,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Bronze
58981,France,FRA,1952,Winter,Oslo,Figure Skating,Figure Skating Women's Singles,Bronze
59006,United States,USA,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
59024,Spain,ESP,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Bronze
59026,Spain,ESP,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Bronze
59027,China,CHN,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Single Sculls,Bronze
59072,Netherlands,NED,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
59088,United States,USA,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Heavyweight,Bronze
59127,Gitana-2,FRA,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Bronze
59128,Gitana-2,FRA,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Silver
59135,France,FRA,1912,Summer,Stockholm,Art Competitions,Art Competitions Mixed Sculpturing,Silver
59144,Gitana-2,FRA,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Bronze
59145,Gitana-2,FRA,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Silver
59152,Belgium,BEL,1906,Summer,Athina,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
59161,Belgium,BEL,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze
59168,France,FRA,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
59171,France,FRA,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
59172,France,FRA,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
59175,Nina Claire-2,FRA,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze
59196,Germany,GER,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
59197,Belarus,BLR,1996,Summer,Atlanta,Athletics,Athletics Men's Discus Throw,Silver
59199,Soviet Union,URS,1964,Summer,Tokyo,Rowing,Rowing Men's Double Sculls,Gold
59213,Belgium,BEL,1920,Summer,Antwerpen,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Bronze
59223,France,FRA,1984,Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Silver
59226,France,FRA,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Bronze
59231,Canada,CAN,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
59235,France-1,FRA,1992,Winter,Albertville,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
59237,France-1,FRA,1992,Winter,Albertville,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
59242,Czechoslovakia,TCH,1968,Summer,Mexico City,Diving,Diving Women's Platform,Gold
59244,Czechoslovakia,TCH,1972,Summer,Munich,Diving,Diving Women's Platform,Silver
59248,East Germany,GDR,1972,Summer,Munich,Football,Football Men's Football,Bronze
59249,Galt Football Club,CAN,1904,Summer,St. Louis,Football,Football Men's Football,Gold
59250,Canada,CAN,1908,Summer,London,Lacrosse,Lacrosse Men's Lacrosse,Gold
59251,Germany,GER,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Bronze
59264,France,FRA,1920,Summer,Antwerpen,Fencing,"Fencing Men's Foil, Individual",Bronze
59265,France,FRA,1920,Summer,Antwerpen,Fencing,"Fencing Men's Foil, Team",Silver
59267,France,FRA,1924,Summer,Paris,Fencing,"Fencing Men's Foil, Individual",Gold
59268,France,FRA,1924,Summer,Paris,Fencing,"Fencing Men's Foil, Team",Gold
59269,France,FRA,1924,Summer,Paris,Fencing,"Fencing Men's epee, Individual",Silver
59270,France,FRA,1924,Summer,Paris,Fencing,"Fencing Men's epee, Team",Gold
59271,France,FRA,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Individual",Silver
59273,France,FRA,1928,Summer,Amsterdam,Fencing,"Fencing Men's Foil, Team",Silver
59291,Hungary,HUN,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
59322,Hungary,HUN,1960,Summer,Roma,Football,Football Men's Football,Bronze
59326,United States,USA,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
59335,Bulgaria,BUL,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
59342,Soviet Union,URS,1984,Winter,Sarajevo,Luge,Luge Men's Singles,Bronze
59345,Russia,RUS,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
59346,United States,USA,1948,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
59357,Poland,POL,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
59362,Denmark,DEN,1980,Summer,Moskva,Sailing,Sailing Mixed Multihull,Silver
59363,Denmark,DEN,1920,Summer,Antwerpen,Hockey,Hockey Men's Hockey,Silver
59364,Sweden,SWE,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
59373,Cuba,CUB,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Silver
59374,United States,USA,1964,Summer,Tokyo,Swimming,Swimming Women's 400 metres Freestyle,Gold
59375,United States,USA,1964,Summer,Tokyo,Swimming,Swimming Women's 100 metres Backstroke,Bronze
59376,United States,USA,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
59379,United States,USA,1932,Summer,Los Angeles,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
59395,Australia,AUS,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
59401,Great Britain,GBR,1906,Summer,Athina,Fencing,"Fencing Men's epee, Team",Silver
59409,Germany,GER,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Gold
59434,France,FRA,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Double Sculls,Silver
59450,France,FRA,1912,Summer,Stockholm,Equestrianism,"Equestrianism Men's Jumping, Team",Silver
59454,Switzerland,SUI,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
59456,Canada,CAN,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Moguls,Silver
59457,Canada,CAN,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Moguls,Gold
59489,Mongolia,MGL,1980,Summer,Moskva,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze
59492,Great Britain,GBR,1936,Winter,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh Men's Four,Bronze
59497,Canada,CAN,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
59498,Argentina,ARG,1936,Summer,Berlin,Polo,Polo Men's Polo,Gold
59499,United States,USA,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
59500,United States,USA,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
59508,Russia,RUS,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Silver
59525,"Central Turnverein, Chicago",USA,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Team All-Around,Bronze
59526,United States,USA,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
59530,Canada,CAN,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Silver
59544,East Germany,GDR,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Eights,Gold
59551,Germany,GER,1900,Summer,Paris,Cycling,Cycling Men's Points Race,Silver
59553,Great Britain,GBR,2012,Summer,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
59554,Great Britain,GBR,2012,Summer,London,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
59555,Great Britain,GBR,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
59556,Great Britain,GBR,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
59557,France,FRA,1924,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Gold
59558,France,FRA,1928,Summer,Amsterdam,Water Polo,Water Polo Men's Water Polo,Bronze
59565,Austria,AUT,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Parallel Slalom,Gold
59585,Bulgaria,BUL,1980,Summer,Moskva,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
59590,Latvia,LAT,2010,Winter,Vancouver,Skeleton,Skeleton Men's Skeleton,Silver
59591,Latvia,LAT,2014,Winter,Sochi,Skeleton,Skeleton Men's Skeleton,Silver
59606,Soviet Union,URS,1976,Summer,Montreal,Rowing,Rowing Men's Quadruple Sculls,Silver
59611,France,FRA,1936,Summer,Berlin,Fencing,"Fencing Men's epee, Team",Bronze
59618,United States,USA,1908,Summer,London,Athletics,"Athletics Men's 3 mile, Team",Silver
59634,United States,USA,2012,Summer,London,Diving,Diving Men's Synchronized Springboard,Bronze
59636,Romania,ROU,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Bronze
59639,United States,USA,1956,Summer,Melbourne,Athletics,Athletics Men's High Jump,Gold
59643,Soviet Union,URS,1952,Summer,Helsinki,Athletics,Athletics Women's Discus Throw,Bronze
59647,Soviet Union,URS,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Eights,Silver
59650,France,FRA,2012,Summer,London,Basketball,Basketball Women's Basketball,Silver
59659,Romania,ROU,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Gold
59665,Romania,ROU,1956,Summer,Melbourne,Boxing,Boxing Men's Light-Welterweight,Bronze
59666,Romania,ROU,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,Silver
59670,Romania,ROU,1960,Summer,Roma,Shooting,Shooting Men's Trap,Gold
59676,Romania,ROU,2012,Summer,London,Fencing,"Fencing Men's Sabre, Team",Silver
59677,Romania,ROU,1992,Summer,Barcelona,Fencing,"Fencing Women's Foil, Team",Bronze
59679,Romania,ROU,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
59683,Romania,ROU,2008,Summer,Beijing,Judo,Judo Women's Extra-Lightweight,Gold
59684,Romania,ROU,2012,Summer,London,Judo,Judo Women's Extra-Lightweight,Silver
59690,Romania,ROU,1980,Summer,Moskva,Handball,Handball Men's Handball,Bronze
59691,Romania,ROU,1984,Summer,Los Angeles,Handball,Handball Men's Handball,Bronze
59695,Romania,ROU,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
59696,Romania,ROU,1968,Summer,Mexico City,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze
59698,Romania,ROU,1972,Summer,Munich,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
59702,Western Rowing Club-3,USA,1904,Summer,St. Louis,Rowing,Rowing Men's Coxless Fours,Bronze
59723,France,FRA,1960,Summer,Roma,Rowing,Rowing Men's Coxed Fours,Silver
59731,France,FRA,2000,Summer,Sydney,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold
59743,Netherlands,NED,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Individual Time Trial,Silver
59748,Hungary,HUN,1968,Summer,Mexico City,Football,Football Men's Football,Gold
59749,Hungary,HUN,1972,Summer,Munich,Football,Football Men's Football,Silver
59750,Hungary,HUN,1972,Summer,Munich,Football,Football Men's Football,Silver
59751,Hungary,HUN,1960,Summer,Roma,Football,Football Men's Football,Bronze
59752,Hungary,HUN,1968,Summer,Mexico City,Football,Football Men's Football,Gold
59754,Switzerland,SUI,1968,Summer,Mexico City,Sailing,Sailing Mixed 5.5 metres,Silver
59755,Bulgaria,BUL,1988,Summer,Seoul,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver
59765,Russia,RUS,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Welterweight,Bronze
59768,United States,USA,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,Gold
59772,Romania,ROU,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Team All-Around,Silver
59784,United States,USA,1912,Summer,Stockholm,Athletics,Athletics Men's Discus Throw,Bronze
59813,United States,USA,2004,Summer,Athina,Basketball,Basketball Men's Basketball,Bronze
59817,Canada,CAN,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
59821,Germany,GER,1906,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,Bronze
59823,East Germany,GDR,1980,Summer,Moskva,Rowing,Rowing Men's Quadruple Sculls,Gold
59833,Poland,POL,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
59847,Bulgaria,BUL,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
59858,Brazil,BRA,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
59862,United States,USA,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
59868,West Germany,FRG,1968,Winter,Grenoble,Luge,Luge Women's Singles,Bronze
59875,United States,USA,1976,Summer,Montreal,Basketball,Basketball Women's Basketball,Silver
59890,Jamaica,JAM,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
59894,Australia,AUS,2012,Summer,London,Rowing,Rowing Men's Coxless Fours,Silver
59895,Australia,AUS,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver
59898,United States,USA,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
59902,Hera-1,GBR,1908,Summer,London,Sailing,Sailing Mixed 12 metres,Gold
59913,United States,USA,1936,Summer,Berlin,Athletics,Athletics Men's Discus Throw,Silver
59945,United States,USA,1998,Winter,Nagano,Snowboarding,Snowboarding Women's Halfpipe,Bronze
59947,United States,USA,1936,Summer,Berlin,Diving,Diving Women's Platform,Silver
59950,United States,USA,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
59951,United States,USA,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
59952,United States,USA,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
59954,Great Britain,GBR,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
59971,Canada,CAN,1948,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
59990,USFSA,FRA,1900,Summer,Paris,Football,Football Men's Football,Silver
59997,United States,USA,1988,Summer,Seoul,Water Polo,Water Polo Men's Water Polo,Silver
60003,Germany,GER,2004,Summer,Athina,Fencing,"Fencing Women's epee, Team",Silver
60009,Belgium,BEL,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Sculpturing, Medals",Bronze
60016,France,FRA,1924,Summer,Paris,Rugby,Rugby Men's Rugby,Silver
60022,Belgium,BEL,1920,Summer,Antwerpen,Shooting,"Shooting Men's Trap, Team",Silver
60029,France,FRA,1948,Summer,London,Cycling,"Cycling Men's Road Race, Team",Bronze
60030,France,FRA,1948,Summer,London,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
60032,Belgium,BEL,1906,Summer,Athina,Athletics,Athletics Men's Standing High Jump,Silver
60054,France,FRA,1924,Summer,Paris,Rugby,Rugby Men's Rugby,Silver
60060,United States-1,USA,1948,Winter,Sankt Moritz,Bobsleigh,Bobsleigh Men's Four,Bronze
60064,United States-1,USA,1948,Winter,Sankt Moritz,Bobsleigh,Bobsleigh Men's Four,Bronze
60075,Canada,CAN,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
60076,Canada,CAN,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
60081,France,FRA,1964,Summer,Tokyo,Athletics,Athletics Women's 800 metres,Silver
60083,Unified Team,EUN,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
60104,Australasia,ANZ,1912,Summer,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,Gold
60107,Bulgaria,BUL,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
60108,Bulgaria,BUL,1972,Summer,Munich,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
60109,United States,USA,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
60147,France,FRA,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
60148,France,FRA,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
60150,France,FRA,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
60158,Belgium,BEL,1912,Summer,Stockholm,Water Polo,Water Polo Men's Water Polo,Bronze
60159,Belgium,BEL,1920,Summer,Antwerpen,Water Polo,Water Polo Men's Water Polo,Silver
60160,Belgium,BEL,1924,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Silver
60163,Great Britain,GBR,1912,Summer,Stockholm,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Bronze
60164,Great Britain,GBR,1912,Summer,Stockholm,Shooting,"Shooting Men's Dueling Pistol, 30 metres, Team",Bronze
60167,United States,USA,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
60168,United States,USA,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
60169,Great Britain,GBR,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
60177,Romania,ROU,1980,Summer,Moskva,Handball,Handball Men's Handball,Bronze
60178,Romania,ROU,1984,Summer,Los Angeles,Handball,Handball Men's Handball,Bronze
60184,United States,USA,1964,Summer,Tokyo,Rowing,Rowing Men's Coxless Fours,Bronze
60187,Czechoslovakia,TCH,1924,Summer,Paris,Weightlifting,Weightlifting Men's Lightweight,Bronze
60197,Belgium,BEL,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze
60207,France,FRA,1920,Summer,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,Bronze
60218,Yugoslavia,YUG,1960,Summer,Roma,Football,Football Men's Football,Gold
60222,Austria-1,AUT,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four,Silver
60224,Austria-1,AUT,1968,Winter,Grenoble,Bobsleigh,Bobsleigh Men's Four,Silver
60257,West Germany,FRG,1984,Summer,Los Angeles,Rowing,Rowing Men's Quadruple Sculls,Gold
60258,Switzerland,SUI,1948,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
60265,Switzerland,SUI,1948,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
60296,Bulgaria,BUL,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
60302,United States,USA,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
60303,United States,USA,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
60304,Berliner Ruderclub,GER,1908,Summer,London,Rowing,Rowing Men's Coxless Pairs,Bronze
60305,Uzbekistan,UZB,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Flyweight,Gold
60308,Netherlands,NED,1928,Summer,Amsterdam,Hockey,Hockey Men's Hockey,Silver
60314,United States,USA,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Silver
60320,France,FRA,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
60338,France,FRA,1900,Summer,Paris,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Silver
60340,Great Britain,GBR,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Bronze
60356,India,IND,1948,Summer,London,Hockey,Hockey Men's Hockey,Gold
60357,India,IND,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,Gold
60361,India,IND,2012,Summer,London,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
60370,Australia,AUS,1988,Summer,Seoul,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
60371,Great Britain,GBR,1908,Summer,London,Lacrosse,Lacrosse Men's Lacrosse,Silver
60372,Australia,AUS,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
60373,Australia,AUS,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
60380,United States,USA,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
60395,Martha-1,FRA,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Silver
60396,Martha-1,FRA,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze
60398,Australia,AUS,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Eights,Silver
60403,Cincinnati Archers,USA,1904,Summer,St. Louis,Archery,Archery Men's Team Round,Silver
60404,Cuba,CUB,1976,Summer,Montreal,Boxing,Boxing Men's Flyweight,Silver
60409,France,FRA,1920,Summer,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,Bronze
60412,Cuba,CUB,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Middleweight,Silver
60413,Cuba,CUB,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Silver
60414,France,FRA,1932,Summer,Los Angeles,Weightlifting,Weightlifting Men's Lightweight,Gold
60417,Norway,NOR,1992,Summer,Barcelona,Handball,Handball Women's Handball,Silver
60419,Norway,NOR,2000,Summer,Sydney,Handball,Handball Women's Handball,Bronze
60420,East Germany,GDR,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
60421,East Germany,GDR,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
60436,France,FRA,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
60440,Croatia,CRO,2012,Summer,London,Handball,Handball Men's Handball,Bronze
60442,United States,USA,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Gold
60446,Unified Team,EUN,1992,Summer,Barcelona,Handball,Handball Men's Handball,Gold
60447,Spain,ESP,1996,Summer,Atlanta,Handball,Handball Men's Handball,Bronze
60448,Spain,ESP,2000,Summer,Sydney,Handball,Handball Men's Handball,Bronze
60450,Netherlands,NED,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,Gold
60451,Netherlands,NED,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Bronze
60458,Yugoslavia,YUG,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
60459,Yugoslavia,YUG,1988,Summer,Seoul,Water Polo,Water Polo Men's Water Polo,Gold
60465,Yugoslavia,YUG,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,Bronze
60467,Yugoslavia,YUG,1984,Summer,Los Angeles,Handball,Handball Women's Handball,Gold
60471,Serbia and Montenegro,SCG,1996,Summer,Atlanta,Volleyball,Volleyball Men's Volleyball,Bronze
60472,Yugoslavia,YUG,1980,Summer,Moskva,Handball,Handball Women's Handball,Silver
60473,Yugoslavia,YUG,1984,Summer,Los Angeles,Handball,Handball Women's Handball,Gold
60485,Yugoslavia,YUG,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,Bronze
60490,Soviet Union,URS,1976,Summer,Montreal,Judo,Judo Men's Middleweight,Silver
60495,United States,USA,1904,Summer,St. Louis,Athletics,Athletics Men's Pole Vault,Gold
60497,United States,USA,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Gold
60520,Czechoslovakia,TCH,1976,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
60525,Czech Republic,CZE,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,Bronze
60529,Soviet Union,URS,1972,Summer,Munich,Basketball,Basketball Men's Basketball,Gold
60546,United States,USA,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
60547,United States,USA,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,Bronze
60549,United States,USA,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
60555,Australia,AUS,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold
60556,Australia,AUS,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
60557,Australia,AUS,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
60564,Australia,AUS,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
