,Team,Country_ID,Year,Season,City,Sport,Event,Medal
260516,Slaghoken II,SWE,1956,Summer,Melbourne,Sailing,Sailing Mixed Three Person Keelboat,Gold
260525,Finland,FIN,1924,Summer,Paris,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver
260528,United States,USA,1972,Summer,Munich,Archery,Archery Women's Individual,Gold
260534,United States,USA,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
260546,Germany,GER,1992,Summer,Barcelona,Hockey,Hockey Women's Hockey,Silver
260570,East Germany,GDR,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Eights,Gold
260571,Russia,RUS,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Parallel Giant Slalom,Gold
260572,Russia,RUS,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Parallel Slalom,Gold
260586,United States,USA,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,Bronze
260592,Australasia,ANZ,1912,Summer,Stockholm,Tennis,"Tennis Men's Singles, Covered Courts",Bronze
260593,United States,USA,1932,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Bronze
260596,United States,USA,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
260600,Finland,FIN,1924,Summer,Paris,Athletics,Athletics Men's 400 metres Hurdles,Silver
260607,United States,USA,1904,Summer,St. Louis,Cycling,Cycling Men's 5 mile,Silver
260608,United States,USA,1904,Summer,St. Louis,Cycling,Cycling Men's 25 mile,Bronze
260615,United States,USA,1928,Summer,Amsterdam,Athletics,Athletics Women's High Jump,Bronze
260627,Switzerland,SUI,1924,Summer,Paris,Gymnastics,Gymnastics Men's Team All-Around,Bronze
260632,Switzerland,SUI,1924,Summer,Paris,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
260639,Germany,GER,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Gold
260640,Germany,GER,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 10 kilometres Pursuit,Silver
260641,Germany,GER,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Gold
260643,Germany,GER,2006,Winter,Torino,Biathlon,Biathlon Women's 10 kilometres Pursuit,Gold
260644,Germany,GER,2006,Winter,Torino,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,Silver
260646,Germany,GER,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Silver
260651,Germany,GER,2010,Winter,Vancouver,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Bronze
260700,Poland,POL,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Team Portable Apparatus,Bronze
260710,Germany,GER,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
260711,East Germany,GDR,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Eights,Gold
260712,East Germany,GDR,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,Gold
260716,Roddklubben af 1912-1,SWE,1912,Summer,Stockholm,Rowing,"Rowing Men's Coxed Fours, Inriggers",Silver
260719,United States,USA,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
260722,Ludwigshafener Ruder Verein-1,GER,1900,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Bronze
260723,Ludwigshafener Ruderverein,GER,1912,Summer,Stockholm,Rowing,"Rowing Men's Coxed Fours, Outriggers",Gold
260724,United States,USA,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
260725,Canada-1,CAN,1964,Winter,Innsbruck,Figure Skating,Figure Skating Mixed Pairs,Silver
260728,Trinidad and Tobago,TTO,1948,Summer,London,Weightlifting,Weightlifting Men's Featherweight,Silver
260729,Trinidad and Tobago,TTO,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Featherweight,Bronze
260732,Great Britain,GBR,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Breaststroke,Silver
260735,Great Britain,GBR,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Breaststroke,Silver
260736,Great Britain,GBR,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Breaststroke,Gold
260741,Jamaica,JAM,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
260742,Australia,AUS,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze
260743,Australia,AUS,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze
260744,Australia,AUS,2004,Summer,Athina,Softball,Softball Women's Softball,Silver
260747,Ireland,IRL,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
260751,United States,USA,1904,Summer,St. Louis,Athletics,Athletics Men's Pole Vault,Bronze
260752,United States,USA,1976,Summer,Montreal,Athletics,Athletics Men's Discus Throw,Gold
260753,United States,USA,1984,Summer,Los Angeles,Athletics,Athletics Men's Discus Throw,Silver
260759,Great Britain,GBR,1920,Summer,Antwerpen,Hockey,Hockey Men's Hockey,Gold
260765,Great Britain,GBR,1908,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
260766,Great Britain,GBR,1912,Summer,Stockholm,Water Polo,Water Polo Men's Water Polo,Gold
260770,Ireland,IRL,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
260782,United States,USA,2000,Summer,Sydney,Diving,Diving Women's Platform,Gold
260786,Canada,CAN,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Silver
260795,Canada,CAN,2012,Summer,London,Football,Football Women's Football,Bronze
260796,Canada,CAN,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Bronze
260803,United States,USA,1948,Summer,London,Rowing,Rowing Men's Coxed Fours,Gold
260815,United States,USA,1964,Summer,Tokyo,Diving,Diving Women's Springboard,Bronze
260816,Cornwall,GBR,1908,Summer,London,Rugby,Rugby Men's Rugby,Silver
260835,Netherlands,NED,2008,Summer,Beijing,Judo,Judo Women's Half-Middleweight,Bronze
260844,Belgium-1,BEL,1924,Winter,Chamonix,Bobsleigh,Bobsleigh Men's Four/Five,Bronze
260848,Netherlands,NED,1924,Summer,Paris,Cycling,Cycling Men's 50 kilometres,Gold
260851,Netherlands,NED,1920,Summer,Antwerpen,Archery,"Archery Men's Target Archery, 28 metres, Team",Gold
260852,Belgium,BEL,1908,Summer,London,Fencing,"Fencing Men's epee, Team",Bronze
260855,Belgium,BEL,1912,Summer,Stockholm,Fencing,"Fencing Men's epee, Team",Gold
260856,Netherlands,NED,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,Gold
260857,Netherlands,NED,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze
260884,Brazil,BRA,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
260886,Brazil,BRA,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
260890,United States,USA,1924,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
260892,Great Britain,GBR,2010,Winter,Vancouver,Skeleton,Skeleton Women's Skeleton,Gold
260894,Bahamas,BAH,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
260903,United States,USA,1936,Summer,Berlin,Athletics,Athletics Men's 400 metres,Gold
260905,Canada,CAN,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Silver
260909,Great Britain-1,GBR,1920,Summer,Antwerpen,Figure Skating,Figure Skating Mixed Pairs,Bronze
260910,Kathleen,USA,1956,Summer,Melbourne,Sailing,Sailing Mixed Two Person Keelboat,Gold
260913,Canada,CAN,1908,Summer,London,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Bronze
260915,Canada,CAN,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Bronze
260921,Jamaica,JAM,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
260925,United States,USA,1996,Summer,Atlanta,Softball,Softball Women's Softball,Gold
260926,United States,USA,2000,Summer,Sydney,Softball,Softball Women's Softball,Gold
260928,Jamaica,JAM,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
260944,United States,USA,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
260945,United States,USA,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
260949,Canada,CAN,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
260954,United States-1,USA,1924,Summer,Paris,Tennis,Tennis Mixed Doubles,Gold
260959,Cambridge University Boat Club-2,GBR,1908,Summer,London,Rowing,Rowing Men's Coxed Eights,Bronze
260980,Australia,AUS,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver
260983,United States,USA,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Gold
260991,United States,USA,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Team",Silver
260994,United States,USA,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,Bronze
260997,Australia,AUS,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver
261007,United States,USA,1972,Summer,Munich,Archery,Archery Men's Individual,Gold
261009,United States,USA,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
261026,United States,USA,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,Silver
261030,United States,USA,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
261031,United States-1,USA,2014,Winter,Sochi,Bobsleigh,Bobsleigh Women's Two,Silver
261037,Glider,USA,1964,Summer,Tokyo,Sailing,Sailing Mixed Two Person Keelboat,Silver
261043,United States,USA,1960,Summer,Roma,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
261045,Canada,CAN,1984,Summer,Los Angeles,Athletics,"Athletics Women's 3,000 metres",Bronze
261072,Canada,CAN,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
261073,United States,USA,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Gold
261074,New Zealand,NZL,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Silver
261082,Canada,CAN,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,Gold
261083,Canada,CAN,1928,Summer,Amsterdam,Athletics,Athletics Men's 200 metres,Gold
261092,Wales-4,GBR,1908,Summer,London,Hockey,Hockey Men's Hockey,Bronze
261094,United States,USA,1972,Summer,Munich,Athletics,Athletics Men's Long Jump,Gold
261095,United States,USA,1976,Summer,Montreal,Athletics,Athletics Men's Long Jump,Silver
261099,Great Britain,GBR,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
261100,United States,USA,1904,Summer,St. Louis,Archery,Archery Men's Double American Round,Silver
261101,United States,USA,1904,Summer,St. Louis,Archery,Archery Men's Double York Round,Silver
261102,Potomac Archers,USA,1904,Summer,St. Louis,Archery,Archery Men's Team Round,Gold
261107,United States,USA,2000,Summer,Sydney,Tennis,Tennis Women's Doubles,Gold
261109,United States-2,USA,2008,Summer,Beijing,Tennis,Tennis Women's Doubles,Gold
261110,United States,USA,2012,Summer,London,Tennis,Tennis Women's Singles,Gold
261111,United States-1,USA,2012,Summer,London,Tennis,Tennis Women's Doubles,Gold
261116,Australia,AUS,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold
261118,Jamaica,JAM,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres,Silver
261119,Jamaica,JAM,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
261120,Jamaica,JAM,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
261133,Great Britain,GBR,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Gold
261134,Great Britain,GBR,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,Gold
261137,United States,USA,2004,Summer,Athina,Triathlon,Triathlon Women's Olympic Distance,Bronze
261146,United States,USA,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
261149,United States,USA,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
261157,United States,USA,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
261158,United States,USA,2000,Summer,Sydney,Tennis,Tennis Women's Singles,Gold
261159,United States,USA,2000,Summer,Sydney,Tennis,Tennis Women's Doubles,Gold
261163,United States-2,USA,2008,Summer,Beijing,Tennis,Tennis Women's Doubles,Gold
261165,United States-1,USA,2012,Summer,London,Tennis,Tennis Women's Doubles,Gold
261167,United States-1,USA,2016,Summer,Rio de Janeiro,Tennis,Tennis Mixed Doubles,Silver
261171,United States,USA,1988,Summer,Seoul,Diving,Diving Women's Platform,Bronze
261177,New Zealand,NZL,1952,Summer,Helsinki,Athletics,Athletics Women's Long Jump,Gold
261182,United States,USA,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
261183,United States,USA,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,Silver
261184,United States,USA,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Silver
261186,Bahamas,BAH,2004,Summer,Athina,Athletics,Athletics Women's 400 metres,Gold
261188,Jamaica,JAM,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
261190,Jamaica,JAM,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
261192,Jamaica,JAM,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
261193,Jamaica,JAM,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
261210,Great Britain,GBR,2004,Summer,Athina,Archery,Archery Women's Individual,Bronze
261216,Great Britain,GBR,1948,Summer,London,Athletics,Athletics Women's 200 metres,Silver
261218,United States,USA,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
261220,Australia,AUS,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,Bronze
261236,United States,USA,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
261239,Belgium,BEL,1920,Summer,Antwerpen,Weightlifting,Weightlifting Men's Lightweight,Silver
261249,New Zealand,NZL,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",Silver
261251,New Zealand,NZL,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",Bronze
261259,Great Britain,GBR,1980,Summer,Moskva,Boxing,Boxing Men's Light-Welterweight,Bronze
261277,Germany,GER,1992,Summer,Barcelona,Rowing,Rowing Men's Quadruple Sculls,Gold
261278,Germany,GER,1996,Summer,Atlanta,Rowing,Rowing Men's Quadruple Sculls,Gold
261279,Germany,GER,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Bronze
261287,United States,USA,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Silver
261292,Australia,AUS,2012,Summer,London,Cycling,Cycling Men's BMX,Silver
261295,Australia,AUS,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Bronze
261303,United States,USA,1924,Summer,Paris,Tennis,Tennis Women's Singles,Gold
261304,United States-1,USA,1924,Summer,Paris,Tennis,Tennis Women's Doubles,Gold
261334,Australia,AUS,2008,Summer,Beijing,Sailing,Sailing Men's Two Person Dinghy,Gold
261339,Netherlands,NED,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Gold
261350,United States,USA,1924,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold
261357,Canada,CAN,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
261358,Canada,CAN,1932,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,Bronze
261359,Canada,CAN,1932,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,Silver
261360,Canada,CAN,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
261388,Cornwall,GBR,1908,Summer,London,Rugby,Rugby Men's Rugby,Silver
261409,United States,USA,2004,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,Silver
